food_name,cuisine,diet_type,mood_tags,nutrients,meal_time,mood_score_weight
Mushroom Masala,North Indian,vegan,disgust;neutral,protein;fiber;potassium,dinner,0.80
Pesarattu,Andhra,vegan,joy;neutral,protein;fiber;iron,breakfast,0.87
Akki Roti,Karnataka,vegan,neutral;sadness,carbs;fiber;iron,breakfast,0.81
Nimbu Pani,Indian Beverage,vegan,surprise;joy,vitamin C;water;sodium;potassium,any,0.76
Masala Chai,Indian Beverage,vegan,anger;neutral,caffeine;polyphenols;water,any,0.74
Paneer Bhurji,North Indian,veg,joy;neutral,protein;calcium;fat,breakfast,0.89
Veg Thali,Indian,veg,neutral;joy,carbs;protein;fiber;iron,lunch,0.93
Nonveg Thali,Indian,nonveg,joy;surprise,carbs;protein;iron;fat,lunch,0.90
Sattu Paratha,Bihari,vegan,neutral;joy,protein;fiber;iron,breakfast,0.86
Makai Ka Cheela,North Indian,vegan,joy;neutral,carbs;fiber;vitamin C,breakfast,0.85
Corn Chaat,Street Food,vegan,surprise;joy,carbs;fiber;vitamin C,evening,0.82
Lemon Rice,South Indian,vegan,neutral;joy,carbs;vitamin C;fiber,lunch,0.84
Tomato Soup,Continental-Indian,vegan,sadness;neutral,vitamin C;lycopene;water,dinner,0.79
Medu Vada,South Indian,veg,joy;surprise,protein;fat;iron,breakfast,0.83
Moong Dal Soup,Healthy Indian,vegan,fear;neutral,protein;fiber;magnesium,dinner,0.91
Steamed Rice Kanji,South Indian,vegan,fear;anxiety;neutral,carbs;water;sodium;potassium,dinner,0.88
Banana Almond Smoothie,Healthy Indian,veg,fear;anxiety;joy,potassium;magnesium;protein,breakfast,0.87
Rasam,South Indian,vegan,sadness;neutral,vitamin C;sodium;potassium,dinner,0.88
Masoor Dal Tadka,North Indian,vegan,neutral;joy,protein;iron;fiber,lunch,0.90
Karela Sabzi,North Indian,vegan,disgust;neutral,fiber;vitamin C;potassium,lunch,0.80
Misal Pav,Maharashtrian,veg,anger;joy,protein;fiber;iron,snack,0.86
Paniyaram,South Indian,veg,surprise;joy,carbs;protein;fiber,breakfast,0.84
Kheer (Rice Pudding),North Indian,veg,joy;neutral,carbs;calcium;protein,snack,0.82
Chicken Clear Soup,Indian,nonveg,fear;neutral,protein;sodium;potassium;water,dinner,0.87
Keema Pav,Street Food,nonveg,anger;joy,protein;iron;fat,snack,0.83
Prawn Curry,Coastal Indian,nonveg,surprise;joy,protein;omega-3;iron,dinner,0.85
Vegetable Clear Soup,Indian,vegan,neutral;sadness,vitamin C;water;fiber,dinner,0.83
